order_id,region,product,sales_amount,units_sold,customer_rating,quarter
1000,East,Widget A,1479,46,2.7,Q3
1001,West,Widget A,150,4,2.6,Q2
1002,West,Widget B,153,6,3.8,Q4
1003,North,Widget A,457,14,2.6,Q4
1004,West,Widget C,317,13,4.0,Q3
1005,North,Widget C,481,14,2.5,Q1
1006,West,Widget B,151,6,3.6,Q3
1007,West,Widget A,275,7,3.5,Q2
1008,West,Widget B,89,2,,Q2
1009,South,Widget B,271,9,4.3,Q3
1010,West,Widget B,119,4,3.4,Q4
1011,West,Widget A,73,3,2.7,Q3
1012,North,Widget A,546,15,2.7,Q3
1013,South,Widget A,371,9,3.6,Q1
1014,West,Widget C,111,3,4.7,Q1
1015,East,Widget A,354,8,4.3,Q3
1016,East,Widget B,719,25,,Q1
1017,East,Widget C,376,9,3.9,Q4
1018,South,Widget A,257,7,2.7,Q3
1019,East,Widget B,330,8,3.2,Q1
1020,South,Widget B,272,12,4.8,Q1
1021,North,Widget C,560,19,4.7,Q3
1022,South,Widget C,186,8,4.9,Q2
1023,West,Widget A,166,5,3.1,Q4
1024,South,Widget C,146,5,,Q1
1025,South,Widget B,297,10,,Q4
1026,North,Widget A,454,15,3.1,Q4
1027,East,Widget C,416,15,4.5,Q1
1028,West,Widget B,246,11,3.3,Q2
1029,West,Widget A,375,10,3.1,Q2
1030,East,Widget C,501,21,3.5,Q2
1031,West,Widget A,102,3,3.0,Q3
1032,South,Widget B,365,10,3.8,Q2
1033,North,Widget B,401,10,4.1,Q1
1034,North,Widget C,565,15,4.7,Q4
1035,East,Widget A,487,20,4.0,Q3
1036,West,Widget B,121,4,5.0,Q4
1037,North,Widget A,412,13,3.4,Q4
1038,East,Widget C,515,23,3.2,Q2
1039,South,Widget B,451,11,4.8,Q3
1040,South,Widget A,518,17,4.3,Q3
1041,West,Widget C,207,5,,Q4
1042,West,Widget B,190,4,4.6,Q3
1043,North,Widget A,559,23,3.7,Q2
1044,North,Widget B,513,16,4.0,Q2
1045,East,Widget B,480,19,3.3,Q4
1046,North,Widget A,423,16,4.5,Q1
1047,West,Widget A,930,42,,Q4
1048,North,Widget A,486,23,2.6,Q2
1049,South,Widget C,245,7,2.9,Q2
1050,North,Widget B,466,22,3.4,Q4
1051,North,Widget A,506,13,4.9,Q3
1052,West,Widget B,203,6,4.3,Q1
1053,South,Widget B,247,9,3.2,Q4
1054,South,Widget C,241,11,4.2,Q1
1055,South,Widget B,253,10,3.9,Q4
1056,North,Widget A,530,16,3.1,Q4
1057,East,Widget A,582,25,2.7,Q3
1058,North,Widget B,535,18,3.7,Q3
1059,West,Widget A,261,8,2.6,Q2
1060,North,Widget B,500,16,4.0,Q4
1061,East,Widget B,510,24,4.9,Q4
1062,West,Widget B,117,3,4.1,Q1
1063,North,Widget B,516,21,3.0,Q2
1064,South,Widget A,322,15,4.6,Q2
1065,South,Widget B,250,9,4.2,Q2
1066,North,Widget C,528,14,2.9,Q1
1067,West,Widget C,246,6,3.4,Q3
1068,West,Widget C,324,9,4.8,Q2
1069,West,Widget A,164,6,3.5,Q4
1070,North,Widget A,467,11,3.7,Q2
1071,East,Widget A,528,24,3.9,Q1
1072,West,Widget A,249,11,2.6,Q3
1073,South,Widget A,350,10,4.3,Q3
1074,West,Widget A,249,11,4.3,Q2
1075,North,Widget B,608,16,3.8,Q2
1076,East,Widget A,542,13,4.4,Q2
1077,West,Widget C,161,5,4.3,Q2
1078,South,Widget C,298,14,2.6,Q4
1079,West,Widget A,119,3,4.2,Q4
1080,South,Widget A,184,4,4.9,Q4
1081,North,Widget A,432,20,3.8,Q3
1082,West,Widget A,267,12,3.0,Q3
1083,East,Widget A,364,11,4.8,Q1
1084,East,Widget B,625,24,3.7,Q2
1085,West,Widget B,135,5,3.1,Q3
1086,South,Widget C,146,4,2.9,Q2
1087,East,Widget A,478,12,4.0,Q1
1088,South,Widget B,394,9,4.0,Q3
1089,North,Widget B,462,12,2.7,Q1
1090,East,Widget C,441,11,5.0,Q2
1091,East,Widget A,445,14,4.4,Q3
1092,North,Widget A,414,10,3.1,Q1
1093,West,Widget B,188,6,4.2,Q2
1094,South,Widget B,774,21,2.7,Q3
1095,North,Widget A,571,25,,Q3
1096,North,Widget A,591,15,5.0,Q2
1097,South,Widget B,342,12,4.8,Q4
1098,North,Widget B,569,21,4.2,Q1
1099,West,Widget B,191,4,3.1,Q4
1100,North,Widget B,378,15,3.4,Q3
1101,North,Widget C,596,26,2.8,Q4
1102,West,Widget A,194,5,3.0,Q3
1103,North,Widget A,576,21,2.6,Q2
1104,North,Widget A,385,14,4.2,Q1
1105,South,Widget A,284,9,3.8,Q3
1106,East,Widget A,464,11,4.8,Q2
1107,South,Widget C,237,7,2.7,Q3
1108,West,Widget C,246,8,2.8,Q2
1109,South,Widget C,324,11,4.3,Q4
1110,South,Widget C,215,8,4.7,Q4
1111,North,Widget B,447,12,2.7,Q3
1112,South,Widget B,466,14,3.3,Q4
1113,South,Widget B,411,16,3.3,Q1
1114,North,Widget A,447,18,2.9,Q3
1115,North,Widget C,461,21,,Q1
1116,West,Widget C,213,5,,Q2
1117,North,Widget B,572,24,4.8,Q3
1118,East,Widget B,524,22,3.6,Q1
1119,West,Widget A,139,4,4.4,Q2
1120,North,Widget B,494,16,3.3,Q2
1121,North,Widget C,403,13,4.2,Q4
1122,North,Widget C,588,18,3.5,Q2
1123,East,Widget A,511,13,3.5,Q1
1124,West,Widget C,206,6,2.8,Q1
1125,North,Widget B,487,13,3.0,Q3
1126,East,Widget B,273,7,4.5,Q3
1127,West,Widget B,228,6,3.8,Q3
1128,East,Widget A,476,17,4.8,Q3
1129,East,Widget C,432,15,4.3,Q2
1130,West,Widget C,198,5,5.0,Q1
1131,North,Widget A,584,23,2.6,Q2
1132,South,Widget B,431,19,3.4,Q1
1133,West,Widget C,196,5,3.1,Q4
1134,North,Widget B,502,16,4.0,Q4
1135,East,Widget B,439,11,3.5,Q3
1136,South,Widget B,360,15,3.1,Q4
1137,West,Widget C,217,5,4.2,Q4
1138,North,Widget C,520,16,4.3,Q4
1139,North,Widget B,408,10,3.1,Q2
1140,South,Widget B,262,9,4.0,Q3
1141,North,Widget A,1728,64,2.5,Q1
1142,East,Widget C,534,13,3.7,Q3
1143,North,Widget C,480,23,3.1,Q1
1144,East,Widget B,392,16,3.8,Q1
1145,West,Widget A,272,11,2.7,Q1
1146,West,Widget A,115,4,4.5,Q2
1147,West,Widget B,110,4,,Q2
1148,West,Widget C,311,10,3.9,Q3
1149,West,Widget A,0,1,4.4,Q2
1150,South,Widget C,211,10,4.3,Q1
1151,West,Widget A,340,10,3.0,Q3
